country,iso3c,region,gdppc_bfp_window,tax_bfp_window,GE_bfp_window,RQ_bfp_window,PV_bfp_window,oda_bfp_window,oda_bfp_window_pc
Belize,BLZ,Latin America and Caribbean,5927.39789445838,21.346693969945,-0.612419593334198,-0.5514657020568846,0.17628020648844556,351289.08,0.9199781231179287
Brazil,BRA,Latin America and Caribbean,8691.54653621939,13.62781886760598,-0.40610489845275877,-0.1556267872452736,-0.5041082799434662,108183936.28,0.5228550551799084
Bhutan,BTN,Asia and the Pacific,3434.93074812342,13.611351808772225,0.423322880268097,-0.362902247905731,1.0113342642784127,5214981.8,6.757455551213738
Botswana,BWA,Africa,7163.239683913804,22.25553342727792,0.2978156298398972,0.569080889225006,1.0235341548919679,4323308.76,1.8639904935538198
Colombia,COL,Latin America and Caribbean,6213.71511250439,14.55832739282016,-0.055193528532981914,0.2729877054691314,-0.830839991569519,246637693.00000003,5.037599484250018
Costa Rica,CRI,Latin America and Caribbean,12455.42104161106,13.09905349866156,0.2806528836488724,0.4916796207427978,0.575216853618622,1830420.76,0.36989151905978923
Cuba,CUB,Latin America and Caribbean,9089.90266524738,NA,-0.2160731256008148,-1.464145946502686,0.5757114470005034,15367382.040000001,1.3768718123396344
Ecuador,ECU,Latin America and Caribbean,6709.379502581914,13.0891981797338,-0.401761665940285,-0.588961258530617,-0.354682147502899,94466169.4,5.294789450773877
Fiji,FJI,Asia and the Pacific,5547.755475163368,22.69271004847066,0.4169011652469636,-0.03851979449391352,0.7514848709106446,1570520.56,1.7126311647597094
Georgia,GEO,Europe and Central Asia,4481.669642174802,22.43638130915834,0.5806944012641906,0.9740464806556706,-0.4141350626945496,21832072.240000002,5.86333893485748
Guatemala,GTM,Latin America and Caribbean,4064.146381304442,10.55082031376948,-0.7194152474403382,-0.3143377363681792,-0.6089036107063296,28250879.76,1.7468087511208295
Indonesia,IDN,Asia and the Pacific,3828.39153531466,NA,0.10532567910850046,0.043968665972352,-0.4802253782749174,134351563.56,0.49877247053011287
India,IND,Asia and the Pacific,2020.888846312562,11.70243586406485,0.21171142533421522,-0.17051334828138348,-0.820229768753052,200065018.72,0.14499831814028308
Kazakhstan,KAZ,Europe and Central Asia,8825.9540905079,10.410162642748986,-0.015100021660327928,0.06034191995859152,-0.09043875676579763,987258.4800000001,0.05260145619344765
Kyrgyzstan,KGZ,Europe and Central Asia,1301.285003877606,16.3073128824411,-0.6963592529296876,-0.4490647792816162,-0.4160091757774354,1762773.48,0.26824300477943236
Cambodia,KHM,Asia and the Pacific,2245.959694841606,13.11518095415412,-0.4411328554153444,-0.6701696872711181,-0.09392121657729138,23917243.919999998,1.4005203912417223
Sri Lanka,LKA,Asia and the Pacific,4167.238050335994,10.573035400653147,-0.13245988190174096,-0.1922695219516756,-0.10615162514150134,29736940,1.397583481920567
Madagascar,MDG,Africa,498.2923081469278,9.689334779287355,-1.0189403891563398,-0.815813258290291,-0.5557849183678627,72074709.2,2.3902893079494185
Mexico,MEX,Latin America and Caribbean,9608.564401919919,13.04172733866956,-0.18151322454214092,0.09302857033908363,-0.7494619727134704,81293968.00000001,0.6566141889303949
Mongolia,MNG,Asia and the Pacific,3911.995521773336,14.06621781021036,-0.2606827676296235,-0.11809616950340557,0.7501631021499634,13427887.280000001,4.218069061798207
Mozambique,MOZ,Africa,538.3372436606533,23.19570674328748,-0.7951574087142944,-0.756902492046356,-1.1680358767509473,65586373.24,2.045373944317592
Malaysia,MYS,Asia and the Pacific,10223.720438122362,12.26807546196628,0.9278749823570256,0.6250954270362854,0.152230814099312,3033494.4,0.09263106731602994
Nepal,NPL,Asia and the Pacific,1324.503441625774,15.734603422013166,-0.9101752191781998,-0.6723400503396988,-0.20783007144927976,19325027.8,0.6532356503087259
Peru,PER,Latin America and Caribbean,6742.238853982756,14.22630950052226,-0.2488086730241778,0.36942312270402905,-0.2833978295326232,72562930.88000001,2.229491101762879
Philippines,PHL,Asia and the Pacific,3164.03917119067,13.83357728965188,0.03474014662206172,0.09642576426267604,-1.0741900205612165,26683148,0.24388194503277943
Rwanda,RWA,Africa,789.6744468086066,14.36892363816362,0.1703999206423759,0.03283206149935721,0.07568905726075173,16270605.92,1.2578344490158917
Thailand,THA,Asia and the Pacific,6959.546338309129,15.44207854695502,0.2264976054430006,0.03042780486866829,-0.6446484297513962,5738558.46,0.08038836712345597
Tanzania,TZA,Africa,1179.102319335938,11.71392927764648,-0.5757650583982465,-0.6203502416610718,-0.28236551582813274,130007042.6,2.031418730907701
Uganda,UGA,Africa,821.6226727988972,11.874800353213221,-0.6382209062576292,-0.387571853399277,-0.7429413437843322,45466825.480000004,1.0566544461892362
Vietnam,VNM,Asia and the Pacific,3371.51066002316,NA,0.08396271243691444,-0.3646218955516816,0.02548020780086512,53343863.76,0.5465147711734648
South Africa,ZAF,Africa,6259.60680142051,24.52496534615776,0.09007032513618472,0.04937655441462996,-0.2415047526359558,17947836.6,0.31020747129823
Zambia,ZMB,Africa,1279.4163091428575,15.6441464064204,-0.7315672039985656,-0.576871573925018,0.02192715853452686,17152625.16,0.9731480193749817
