iso3c,year,gdppc,tax_gdp,pop
AFG,2013,637.087099117099,7.12277329012108,31622704
AFG,2014,625.054941813938,6.8821029425122,32792523
AFG,2019,496.6025042585,NA,37856121
AFG,2012,651.417134470046,7.7078006029517,30560034
AFG,2022,357.261152798144,NA,40578842
AFG,2015,565.569730408751,7.58538233155396,33831764
AFG,2023,413.757894705303,NA,41454761
AFG,2018,491.337221382603,NA,36743039
AFG,2020,510.787063366811,NA,39068979
AFG,2021,356.496214115892,NA,40000412
AFG,2017,525.469770891619,9.8984508955205,35688935
AFG,2016,522.082215583898,9.50265278008681,34700612
AFG,2024,NA,NA,42647492
ALB,2013,4542.92903556739,16.4764962744668,2816902
ALB,2012,4280.93316338873,17.5879265953551,2860708
ALB,2023,9730.86921906893,17.8021587949933,2414095
ALB,2016,4457.63412207495,17.4032025232446,2689469
ALB,2018,5897.65452588774,18.2769527327116,2607733
ALB,2024,11377.7757431099,NA,2377128
ALB,2020,6027.91350716348,16.8955410663729,2528480
ALB,2014,4793.59751131525,18.2080954662381,2773767
ALB,2022,7756.96188744253,18.0607759287802,2451636
ALB,2019,6069.43903131027,17.9309939892851,2567801
ALB,2021,7242.45513146613,18.0962279133573,2489762
ALB,2017,5006.36012951959,18.5476631833556,2648285
ALB,2015,4199.53912925398,18.3812921492969,2731293
DZA,2015,4685.05902729002,NA,40019529
DZA,2012,6033.64884689543,NA,37646166
DZA,2013,5979.60138960585,NA,38414171
DZA,2023,5370.477235078,NA,46164219
DZA,2014,6094.69392314956,NA,39205031
DZA,2024,5752.99076651465,NA,46814308
DZA,2017,4554.66753957828,NA,41689299
DZA,2016,4424.98529027556,NA,40850721
DZA,2018,4577.21029180491,NA,42505035
DZA,2019,4468.45341883656,NA,43294546
DZA,2020,3743.5419522929,NA,44042091
DZA,2021,4160.55926736925,NA,44761099
DZA,2022,4960.30334332888,NA,45477389
ASM,2022,18017.4589383973,NA,48342
ASM,2021,15236.1604875571,NA,49225
ASM,2012,11745.4899153958,NA,54489
ASM,2023,NA,NA,47521
ASM,2019,12886.1359517218,NA,50209
ASM,2024,NA,NA,46765
ASM,2020,14489.2586563775,NA,49761
ASM,2017,11863.6839452565,NA,51586
ASM,2015,12727.4102651386,NA,52878
ASM,2016,12843.3342903627,NA,52245
ASM,2018,12552.0546868861,NA,50908
ASM,2014,12026.3344929488,NA,53466
ASM,2013,11813.5022034589,NA,54006
AND,2015,38654.95287916,NA,72174
AND,2016,40129.8385811474,NA,72181
AND,2014,44369.6712976777,NA,73737
AND,2012,41500.5499988288,NA,76834
AND,2017,40672.9717424447,NA,73763
AND,2023,46812.4261013102,13.9472972221746,80856
AND,2013,42470.3230369366,NA,75194
AND,2024,49303.6491674336,NA,81938
AND,2018,42819.7577456133,14.1206057564939,75162
AND,2022,42414.0479861228,14.9845975404244,79705
AND,2019,41257.816459345,13.7632458363196,76474
AND,2021,42425.7066454357,13.1108385219337,78364
AND,2020,37361.1070081615,12.6582711954138,77380
AGO,2018,2860.0936483682,9.92888023428148,31297155
AGO,2014,5649.68762469139,11.9996728280075,27160769
AGO,2016,2051.81462126253,8.57578671451953,29183070
AGO,2017,2790.71886869768,8.05553778682328,30234839
AGO,2019,2493.67884440177,11.2888521414,32375632
AGO,2021,2303.90812662776,10.7033300733944,34532429
AGO,2015,3641.72893919944,9.7095138707439,28157798
AGO,2012,5702.45306277434,13.2204079061426,25177394
AGO,2013,5688.57916215215,12.6117526343152,26165620
AGO,2020,1759.35619918264,20.5176075923944,33451132
AGO,2022,3682.1131513698,12.7318115283927,35635029
AGO,2023,2916.13663284275,8.86912888166896,36749906
AGO,2024,2665.87444776753,7.74436374420001,37885849
ATG,2015,16077.6340769406,NA,89409
ATG,2022,20105.1989085164,NA,92840
ATG,2014,15532.1062063584,NA,88765
ATG,2016,16556.8551801588,NA,89969
ATG,2012,15639.8078114787,NA,87260
ATG,2020,15369.6082250401,NA,91846
ATG,2013,15051.5113587425,NA,88064
ATG,2019,18896.3721832248,NA,91364
ATG,2023,21494.5474000727,NA,93316
ATG,2024,23542.4526945578,NA,93772
ATG,2021,17348.6006987182,NA,92349
ATG,2017,16965.7288273816,NA,90468
ATG,2018,18273.4270684912,NA,90926
ARG,2014,12233.1444119186,12.6109666067191,43024071
ARG,2018,11752.7998922979,9.79144711720618,44654882
ARG,2017,14532.5009308511,10.939623860491,44288894
ARG,2016,12699.9623137756,12.0972836411962,43900313
ARG,2012,12949.717486654,12.9528415127413,42161721
ARG,2019,9955.97478680428,10.3919973375404,44973465
ARG,2020,8535.59938004389,10.7081211457574,45191965
ARG,2015,13679.6264980954,12.3365069418291,43477012
ARG,2022,13962.1894087223,11.0647708089117,45407904
ARG,2013,12963.675773326,12.4529027558077,42582455
ARG,2021,10738.0179223384,11.3410740324002,45312281
ARG,2023,14261.8465667948,9.92889407586128,45538401
ARG,2024,13969.7836603737,NA,45696159
ARM,2021,4685.17997128509,22.0010047373073,2962300
ARM,2014,3852.11800610384,21.5991745519839,3013800
ARM,2024,8556.21406956719,22.3660356799158,3033500
ARM,2015,3512.39350276709,20.931220831047,3004600
ARM,2020,4268.68093304583,21.8604192825684,2961500
ARM,2012,3511.56399687426,17.4916420766113,3024100
ARM,2017,3869.05373867752,20.7806533615558,2979400
ARM,2013,3680.16692158886,21.5862138744907,3022000
ARM,2018,4196.00562301769,20.8701039010043,2969000
ARM,2022,6571.97445545099,21.827155237788,2969200
ARM,2023,8159.08720967996,22.3886922456361,2964300
ARM,2019,4597.22887399548,22.2851709967864,2962500
ARM,2016,3524.42476874707,21.2773752694609,2992300
ABW,2016,27441.5502144601,NA,108727
ABW,2017,28440.0416881491,NA,108735
ABW,2021,26749.3296093118,NA,107700
ABW,2015,27458.2201537506,NA,107906
ABW,2014,26129.8390617693,NA,106807
ABW,2018,30082.1584226798,NA,108908
ABW,2019,30645.8906024548,NA,109203
ABW,2013,25813.5714408438,NA,105675
ABW,2024,39498.5941293797,NA,107995
ABW,2012,25119.6655449838,NA,104110
ABW,2023,35718.7531191634,NA,107359
ABW,2020,22759.8071750722,NA,108587
ABW,2022,30975.9989121779,NA,107310
AUS,2020,51983.4523666382,22.507523858651,25649248
AUS,2015,56970.3613028094,21.7852484720567,23815995
AUS,2017,54117.547718609,22.0221874286349,24592588
AUS,2018,57410.1737346009,23.1220344318251,24963258
AUS,2019,55194.7585097428,23.3142643790741,25334826
AUS,2012,68301.4402512587,21.028478984604,22733465
AUS,2013,68476.6788496118,21.8526958939392,23128129
AUS,2021,60758.9044397144,23.0039076566829,25685412
AUS,2016,50084.4440606385,22.1881700823279,24190907
AUS,2024,64603.9856308464,NA,27196812
AUS,2022,65169.5191118657,23.5614929509239,26018721
AUS,2014,62817.2061751737,21.8026703321947,23475686
AUS,2023,65058.3773146674,NA,26659922
AUT,2016,45061.4993920192,25.8220277699052,8736668
AUT,2012,48250.4059142637,26.1830994283732,8429991
AUT,2013,50305.3545774973,26.7741686943731,8479823
AUT,2015,43915.228020857,27.2160274066387,8642699
AUT,2017,47163.7425775142,25.7616861075799,8797566
AUT,2024,58268.8787651601,NA,9177982
AUT,2018,51194.0749841299,25.7216448598991,8840521
AUT,2014,51314.9722616322,26.8419027283415,8546356
AUT,2023,56579.504175468,25.640680066923,9131761
AUT,2022,52336.7725223758,26.1266920803131,9041851
AUT,2021,53648.6437976214,26.0148539837239,8955797
AUT,2020,48716.4098900349,24.666005775658,8916864
AUT,2019,49885.9947355204,25.8096620383826,8879920
AZE,2017,4147.1981423222,13.1640455061148,9854033
AZE,2018,4739.7943123408,12.9712717874444,9939771
AZE,2014,7890.84028062087,14.2125356482603,9535079
AZE,2013,7875.34536661549,13.3883331614589,9416801
AZE,2016,3880.6852276838,14.5555165725558,9757812
AZE,2015,5500.50364628486,15.6031629275469,9649341
AZE,2012,7495.86527658099,12.7786393685483,9295784
AZE,2019,4805.75371765917,14.2188526451777,10024283
AZE,2021,5408.04535175023,13.4213202980155,10137750
AZE,2023,7133.02838048328,17.7860607300996,10153958
AZE,2020,4229.91064904503,15.1855725074093,10093121
AZE,2022,7770.594223351,15.4476897158899,10141756
AZE,2024,7283.8499076179,NA,10202830
BHS,2022,34957.1613279737,15.5305623380922,397538
BHS,2016,30616.5363157284,14.1340479509128,388055
BHS,2020,26178.7537607708,17.9313432819978,395863
BHS,2018,32642.3353203452,14.3197235396905,392717
BHS,2014,29137.2175632622,11.2869799983841,382298
BHS,2015,30719.405417469,12.7014255254443,385346
BHS,2024,39455.4466548546,NA,401283
BHS,2021,30367.8605757708,13.3895376505774,396373
BHS,2023,38231.774484278,16.1980053499047,399440
BHS,2013,27642.7419759179,11.7717003713497,378953
BHS,2019,33640.3369861278,16.5602018528282,394675
BHS,2017,31875.4881749619,14.7905517839783,390485
BHS,2012,28552.0242683151,12.039369463826,375469
BHR,2012,26438.6733230428,1.13708147282797,1208964
BHR,2023,29290.1284215098,NA,1577059
BHR,2016,23800.001440631,0.808517153769355,1423726
BHR,2018,26324.4066549559,1.09260242338125,1503091
BHR,2014,26451.7965647453,0.792383936021881,1314562
BHR,2017,24784.7693514607,0.936278226979607,1501116
BHR,2022,30470.5219276023,NA,1524693
BHR,2020,24342.8444554718,2.82317547820215,1472204
BHR,2013,26989.7601148469,1.02928468252976,1253191
BHR,2021,27147.8083882286,NA,1504365
BHR,2015,23734.0551143019,0.990043144194505,1370322
BHR,2019,27259.7438599327,2.87818871909521,1483756
BHR,2024,29653.5682731534,NA,1588670
BGD,2021,2482.84917843357,7.64236300887138,167658854
BGD,2022,2716.48592780431,NA,169384897
BGD,2015,1224.38647668165,8.49834882820801,159383179
BGD,2019,2129.79896954606,7.63863895398449,164913055
BGD,2016,1649.28380858601,7.31691184755758,160811932
BGD,2023,2551.01773827307,NA,171466990
BGD,2020,2248.85078828233,7.00153674405437,166298024
BGD,2018,1965.24372731467,7.73177216647423,163523103
BGD,2013,958.262989798283,8.96241331541821,156532141
BGD,2014,1094.46199702838,8.6353777373447,157964929
BGD,2012,859.680536375497,9.02456269019499,155070101
BGD,2017,1811.08221668646,6.99714263243688,162186147
BGD,2024,2593.41611680774,NA,173562364
BRB,2021,21079.6145271791,NA,282147
BRB,2015,20424.2087530019,21.0107447855883,278990
BRB,2017,20284.5762052461,NA,280171
BRB,2014,20192.7084081797,19.6498849411095,278348
BRB,2019,21912.1501242857,NA,281207
BRB,2020,19194.4919736739,NA,281698
BRB,2023,25583.878782727,NA,282336
BRB,2024,26544.8707282621,NA,282467
BRB,2022,24387.0387293761,NA,282318
BRB,2012,20804.1150004694,19.5805148703885,276938
BRB,2018,21381.2426303209,NA,280711
BRB,2016,20295.5672072046,23.4022178303317,279598
BRB,2013,20410.2065438568,19.0400677230378,277665
BLR,2012,6953.21591683101,14.6629750334495,9446836
BLR,2016,5039.77560949445,13.7882356106963,9469379
BLR,2014,8341.31809294883,12.6977245264198,9448515
BLR,2017,5785.54491935194,13.0190056095517,9458989
BLR,2022,7994.64806074889,11.2335456201836,9228071
BLR,2013,7998.0802045456,13.3549628478795,9443211
BLR,2019,6837.77339645635,13.3015061369933,9419758
BLR,2023,7896.75388295584,12.70106334387,9178298
BLR,2024,8317.6339991379191,NA,9132629
BLR,2018,6360.037502312,14.6725689729455,9438785
BLR,2015,5967.05595058777,14.1730944598815,9461076
BLR,2021,7489.71894713888,12.8250049638453,9302585
BLR,2020,6542.85579976768,12.0229232611634,9379952
BEL,2021,51658.238294958,23.2249877086564,11586195
BEL,2019,46716.6227467964,22.5978209383393,11488980
BEL,2014,47995.7786961339,26.0083569098349,11209057
BEL,2018,47487.2100392561,24.0377739058673,11427054
BEL,2020,45906.2875805246,21.8615640422477,11538604
BEL,2012,44874.1709182123,25.7069678443471,11106932
BEL,2022,50605.7496677086,22.7983120173893,11680210
BEL,2017,44035.3239358548,23.5351388069477,11375158
BEL,2015,40893.804537772,24.4227242755175,11274196
BEL,2013,46964.5946777056,26.0756081287063,11159407
BEL,2023,55291.4754541329,NA,11779946
BEL,2016,41854.5498296444,22.9285982517678,11331422
BEL,2024,56614.5679499036,NA,11858610
BLZ,2024,7681.24400583113,NA,417072
BLZ,2023,7424.75821321022,NA,411106
BLZ,2018,6011.99036888587,NA,380226
BLZ,2015,6154.62264230369,19.7057091458161,356333
BLZ,2020,5238.54078175696,NA,390812
BLZ,2019,6171.61449761423,NA,385829
BLZ,2014,6128.12053089077,19.8625602469168,348923
BLZ,2021,6142.98930557031,NA,395346
BLZ,2013,5957.34953619006,18.4715397684085,341627
BLZ,2012,5732.66519942347,18.3628959510632,334414
BLZ,2016,6140.86713919469,20.6436561300688,364705
BLZ,2022,7068.21728043145,NA,402733
BLZ,2017,6071.85451846453,21.346693969945,373202
BEN,2013,1168.92699279226,NA,10708834
BEN,2014,1204.39918670094,NA,11030004
BEN,2022,1266.42711031904,NA,13759501
BEN,2019,1130.82135339795,NA,12726755
BEN,2016,1010.5338961993,NA,11697842
BEN,2015,1002.41886879614,NA,11360681
BEN,2017,1054.97408066814,NA,12039780
BEN,2012,1071.5258366283,NA,10397657
BEN,2020,1200.19426557789,NA,13070169
BEN,2024,1485.38018885134,NA,14462724
BEN,2018,1151.7409703472,NA,12383347
BEN,2021,1318.65158075198,NA,13413417
BEN,2023,1394.17784721831,NA,14111034
BMU,2023,132604.439086216,NA,64698
BMU,2022,121613.939983629,NA,64749
BMU,2020,106976.546239632,NA,64382
BMU,2016,108747.356144305,NA,63449
BMU,2015,104855.366822135,NA,63464
BMU,2014,100961.576602811,NA,63529
BMU,2019,115798.040775578,NA,64107
BMU,2024,142855.374713782,NA,64636
BMU,2021,112765.08167306,NA,64648
BMU,2017,112339.425587467,NA,63578
BMU,2018,113204.82210838,NA,63831
BMU,2012,100213.493385287,NA,63646
BMU,2013,101704.40746217,NA,63574
BTN,2020,3191.66906999331,12.2846363802964,770006
BTN,2012,2751.2128864294,13.588728073627,717279
BTN,2024,NA,NA,791524
BTN,2022,3711.32767981591,NA,780914
BTN,2013,2679.95217201538,13.302594743585,725273
BTN,2019,3576.87987100503,14.4975527173232,764824
BTN,2023,3831.32535494609,NA,786385
BTN,2015,2954.04081911097,12.1453454217218,740618
BTN,2021,3570.61257980872,NA,775442
BTN,2017,3435.28804735662,11.8591944993995,754335
BTN,2018,3400.20417245342,15.8040236380698,759759
BTN,2014,2849.49998647303,12.5052991179472,733139
BTN,2016,3152.30905106786,11.8864300663326,747866
BOL,2012,2575.59857098084,NA,10515807
BOL,2015,2996.01289811344,NA,11014705
BOL,2018,4206.8552936661,NA,11508368
BOL,2014,3041.43503162408,NA,10848888
BOL,2020,3580.96761778303,NA,11816299
BOL,2016,3035.87347732132,NA,11180020
BOL,2022,4219.46113742445,NA,12077154
BOL,2013,2870.02377000756,NA,10682608
BOL,2017,4048.40119739839,NA,11344587
BOL,2024,4421.16609889999,NA,12413315
BOL,2019,4203.15492855788,NA,11671386
BOL,2023,4274.70820547613,NA,12244159
BOL,2021,4010.76053686204,NA,11937360
BIH,2023,8663.02326458629,19.0586852173251,3185073
BIH,2019,6122.37541352353,19.8265969676567,3345533
BIH,2024,9358.78768951134,20.3059477554195,3164253
BIH,2012,4693.78899115381,20.4775399413527,3670113
BIH,2020,6130.31187968266,18.7506430544753,3299349
BIH,2018,6047.84707207392,20.141018442084,3387000
BIH,2017,5345.01978766473,19.9876501155093,3428682
BIH,2016,4928.5665903114,19.7137453121178,3473003
BIH,2013,5034.56634817068,19.7515439048604,3610859
BIH,2021,7295.34378682258,19.098149294853,3244907
BIH,2022,7655.59421024383,19.0910598721056,3204802
BIH,2014,5206.06573475132,19.7779011953067,3564829
BIH,2015,4662.25869219448,19.7000106512728,3518541
BWA,2013,6666.91219583487,26.7403906303594,2140682
BWA,2020,6323.2974967659,22.2747050330683,2365894
BWA,2014,7122.36423421503,27.0928299660417,2172044
BWA,2024,7695.75319445165,22.4882379320016,2521139
BWA,2022,8328.7090572666,19.6495295038272,2439892
BWA,2015,6141.20394726616,26.3110988512498,2203273
BWA,2012,6595.53845015424,28.0365776616041,2108617
BWA,2019,7172.08956480028,21.0985509979513,2332083
BWA,2016,6749.05994339013,21.6300553227647,2234776
BWA,2021,7807.88794570471,22.2304202220167,2401441
BWA,2017,7104.96401088027,23.9334963141963,2266747
BWA,2023,7826.35376483298,18.7133278342197,2480244
BWA,2018,7407.95940141786,21.740494569157,2299141
BRA,2012,12521.7238454434,14.3324110911528,196876111
BRA,2014,12274.9941630213,13.4900745186687,200085127
BRA,2015,8936.1955889444,13.6296293653745,201675532
BRA,2018,9300.66072904004,13.9401079934694,206107261
BRA,2023,10377.5897719195,14.0418624162203,211140729
BRA,2020,7074.19407495707,12.7193878562394,208660842
BRA,2016,8836.28546025694,13.710430980954,203218114
BRA,2022,9281.33282136864,14.725847914016,210306415
BRA,2013,12458.8903396625,14.1253057439527,198478299
BRA,2024,10310.5488778166,15.4102340842559,211998573
BRA,2017,10080.5078722821,13.6052285153591,204703445
BRA,2019,9029.83304401079,13.737694839557,207455459
BRA,2021,7972.53696080695,14.136675133405,209550294
VGB,2021,NA,NA,37809
VGB,2017,NA,NA,32699
VGB,2024,NA,NA,39471
VGB,2022,NA,NA,38319
VGB,2015,NA,NA,34498
VGB,2018,NA,NA,34657
VGB,2016,NA,NA,33878
VGB,2020,NA,NA,37135
VGB,2023,NA,NA,38985
VGB,2019,NA,NA,36395
VGB,2013,NA,NA,31703
VGB,2014,NA,NA,32962
VGB,2012,NA,NA,30345
BRN,2012,46968.5971164922,NA,405557
BRN,2023,32890.5491812019,NA,458949
BRN,2024,33153.4738913513,NA,462721
BRN,2022,36632.9280952155,NA,455370
BRN,2018,30988.1190267227,NA,437810
BRN,2017,28024.3824580252,NA,432772
BRN,2019,30426.5730656528,NA,442680
BRN,2013,44003.0644273461,NA,411202
BRN,2021,31006.9636289785,NA,451721
BRN,2014,41026.5084247957,NA,416750
BRN,2020,26834.3592233943,NA,447404
BRN,2016,26663.2972950602,NA,427564
BRN,2015,30625.1287744656,NA,422212
BGR,2015,7268.65445473873,20.0778036414442,6984225
BGR,2014,8069.60005667684,19.5666207727537,7073572
BGR,2012,7431.95789508871,18.3853352646645,7305888
BGR,2023,15853.208636704,20.5146095521809,6446596
BGR,2017,8696.68930427924,20.523224655166,6803468
BGR,2024,17596.017366352102,NA,6441421
BGR,2013,7795.98092108928,19.6862822353302,7160005
BGR,2016,7822.49923292968,20.3330299615082,6894139
BGR,2019,10353.7204584127,20.595103763448,6616726
BGR,2018,9849.38397225174,19.983539050314,6710798
