Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Botswana,BWA,Government Effectiveness: Estimate,GE.EST,0.388349592685699,0.411628901958466,0.422315120697021,0.378747165203094,0.298254311084747,0.451487898826599,0.497389316558838,0.367126554250717,0.254543900489807,0.375831961631775,0.167879268527031,0.323696464300156,0.439493864774704,0.430828422307968
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.991209805011749,1.06444656848907,1.10404145717621,1.10234701633453,1.01184713840485,1.03136825561523,0.979198038578033,1.00929582118988,0.958469867706299,1.09532988071442,1.01316809654236,1.04140710830688,1.0739837884903,1.03843998908997
Botswana,BWA,Regulatory Quality: Estimate,RQ.EST,0.578393816947937,0.576675236225128,0.692556440830231,0.635518550872803,0.764807999134064,0.552077174186707,0.727797985076904,0.595029830932617,0.623929619789124,0.498032212257385,0.527586281299591,0.600826501846313,0.621043562889099,0.497434794902802
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.596930503845215,0.601400375366211,0.594521701335907,0.494382411241531,0.539282619953156,0.483199238777161,0.379932075738907,0.360619574785233,0.383804857730865,0.432969272136688,0.382221907377243,0.453281432390213,0.459227591753006,0.390436381101608
Madagascar,MDG,Government Effectiveness: Estimate,GE.EST,-0.995213866233826,-1.06907939910889,-1.11727750301361,-1.14748251438141,-1.32273769378662,-1.33208250999451,-1.22864735126495,-1.19451534748077,-1.21214354038239,-1.19339692592621,-1.05303573608398,-1.02791666984558,-0.972033023834229,-1.02277612686157
Madagascar,MDG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.978338837623596,-0.705585896968842,-0.536136984825134,-0.659993410110474,-0.557235836982727,-0.427762925624847,-0.294186472892761,-0.302837282419205,-0.578798413276672,-0.313957303762436,-0.509334743022919,-0.542262673377991,-0.480796605348587,-0.690745651721954
Madagascar,MDG,Regulatory Quality: Estimate,RQ.EST,-0.605530261993408,-0.55234831571579,-0.576099574565887,-0.659140110015869,-0.716764986515045,-0.809338331222534,-0.735103726387024,-0.736412763595581,-0.785894691944122,-0.788889169692993,-0.811572015285492,-0.836634576320648,-0.815499842166901,-0.799546599388123
Madagascar,MDG,Rule of Law: Estimate,RL.EST,-0.878425717353821,-0.894967436790466,-0.927833795547485,-0.920765519142151,-0.736947298049927,-0.705094575881958,-0.831999182701111,-0.875741600990295,-0.836356043815613,-1.01349878311157,-0.879633843898773,-0.885595560073853,-0.950021684169769,-0.974946022033691
Mozambique,MOZ,Government Effectiveness: Estimate,GE.EST,-0.616408288478851,-0.650063931941986,-0.653231084346771,-0.635945856571198,-0.744966745376587,-0.828703820705414,-0.946212470531464,-0.95696634054184,-0.960869610309601,-0.909160733222961,-0.810174465179443,-0.802774250507355,-0.73704868555069,-0.716628909111023
Mozambique,MOZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.394421875476837,0.332048267126083,0.39049369096756,-0.226966470479965,-0.336002737283707,-0.516435563564301,-1.09681463241577,-0.918098509311676,-0.833229660987854,-0.765720069408417,-1.28312349319458,-1.25703620910645,-1.26560831069946,-1.26869130134583
